ip.proto,ipv6.nxt,frame.number,frame.time_relative,frame.len,frame.cap_len,eth.src,eth.dst,ip.src,ip.dst,ipv6.src,ipv6.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
"6",,"1","0.000000000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"2","0.000055000","66","66","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"3","0.011428000","60","60","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"4","0.092442000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"5","0.092475000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"6","0.575233000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"7","0.575275000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"8","0.819033000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"9","0.819051000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"10","1.224424000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"11","1.224447000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"12","1.385623000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"13","1.385641000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"14","1.870360000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"15","1.870387000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"16","2.114080000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"17","2.114104000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"18","2.517370000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"19","2.517410000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"20","2.679643000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"21","2.679674000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"22","3.163048000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"23","3.163076000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"24","3.406992000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"25","3.407011000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"26","3.809403000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"27","3.809440000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"28","3.970776000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"29","3.970793000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"30","4.457766000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"31","4.457802000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"32","4.698229000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"33","4.698267000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"34","5.101395000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"35","5.101419000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"36","5.263138000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"37","5.263154000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"38","5.748696000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"39","5.748735000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"40","5.990958000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"41","5.990975000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"42","6.392693000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"43","6.392717000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"44","6.554190000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"45","6.554223000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"46","7.037572000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"47","7.037602000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"48","7.279633000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"49","7.279655000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"50","7.682271000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"51","7.682311000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"52","7.844544000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"53","7.844561000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"54","8.329956000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"55","8.329989000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"56","8.572538000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"57","8.572585000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"58","8.975491000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"59","8.975509000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"60","9.137582000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"61","9.137604000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"62","9.623054000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"63","9.623095000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"64","9.864725000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"65","9.864744000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"66","10.268836000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"67","10.268857000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"68","10.432850000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"69","10.432876000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"70","10.918508000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"71","10.918549000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"72","11.161839000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"73","11.161864000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"74","11.564905000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"75","11.564945000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"76","11.727096000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"77","11.727114000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"78","12.211054000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"79","12.211075000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"80","12.453360000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"81","12.453385000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"82","12.857286000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"83","12.857314000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"84","13.018905000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"85","13.018922000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"86","13.503150000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"87","13.503179000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"88","13.746523000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"89","13.746564000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"90","14.151409000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"91","14.151433000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"92","14.313459000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"93","14.313478000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"94","14.804584000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"95","14.804626000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"96","15.046910000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"97","15.046930000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"98","15.449996000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"99","15.450019000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"100","15.611104000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"101","15.611144000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"102","16.095880000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"103","16.095905000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"104","16.337858000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"105","16.337878000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"106","16.741313000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"107","16.741353000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"108","16.903384000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"109","16.903403000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"110","17.388283000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"111","17.388306000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"112","17.630589000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"113","17.630630000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"114","18.033531000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"115","18.033550000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"116","18.195766000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"117","18.195790000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"118","18.679928000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"119","18.679968000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"120","18.922315000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"121","18.922334000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"122","19.326406000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"123","19.326430000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"124","19.489049000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"125","19.489067000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"126","19.973396000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"127","19.973436000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"128","20.215928000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"129","20.215951000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"130","20.618359000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"131","20.618401000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"132","20.779486000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"133","20.779504000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"134","21.262767000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"135","21.262789000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"136","21.504502000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"137","21.504521000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"138","21.908364000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"139","21.908403000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"140","22.069944000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"141","22.069966000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"142","22.553889000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"143","22.553957000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"144","22.794969000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"145","22.795025000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"146","23.198924000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"147","23.198951000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"148","23.360870000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"149","23.360886000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"150","23.845265000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"151","23.845310000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"152","24.086993000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"153","24.087017000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"154","24.491142000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"155","24.491170000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"156","24.653581000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"157","24.653609000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"158","25.141859000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"159","25.141884000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"160","25.383632000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"161","25.383652000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"162","25.787825000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"163","25.787853000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"164","25.949464000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"165","25.949482000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"166","26.434220000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"167","26.434246000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"168","26.676466000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"169","26.676509000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"170","27.078917000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"171","27.078942000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"172","27.241068000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"173","27.241086000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"174","27.726050000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"175","27.726085000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"176","27.968356000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"177","27.968375000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"178","28.370522000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"179","28.370553000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"180","28.532901000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"181","28.532944000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"182","29.017674000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"183","29.017705000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"184","29.259960000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"185","29.259983000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"186","29.669231000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"187","29.669273000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"188","29.831649000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"189","29.831668000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"190","30.318125000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
"6",,"191","30.318151000","54","54","00:1c:c0:29:60:d5","00:00:5e:00:01:01","91.121.132.198","143.93.247.87",,,"9999","62097",,
"6",,"192","30.560391000","66","66","00:00:5e:00:01:01","00:1c:c0:29:60:d5","143.93.247.87","91.121.132.198",,,"62097","9999",,
