ip.proto,ipv6.nxt,frame.number,frame.time_relative,frame.len,frame.cap_len,eth.src,eth.dst,ip.src,ip.dst,ipv6.src,ipv6.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,tcp.seq,mqtt.topic,mqtt.msgtype,mqtt.clientid,mqtt.disconnect.reason_code
"6",,"1","0.000000000","74","74","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"0",,,,
"6",,"2","0.007945593","66","66","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"1",,,,
"6",,"3","0.043945055","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"1",,,,
"6",,"4","0.409379200","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"1001",,,,
"6",,"5","0.716389489","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"2002",,,,
"6",,"6","1.024099748","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"3002",,,,
"6",,"7","1.432981202","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"4003",,,,
"6",,"8","1.740550380","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"5003",,,,
"6",,"9","2.047962569","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"6004",,,,
"6",,"10","2.267250908","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"7004",,,,
"6",,"11","2.660759360","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"8004",,,,
"6",,"12","2.967760588","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"9004",,,,
"6",,"13","3.275026910","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"10005",,,,
"6",,"14","3.583035905","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"11006",,,,
"6",,"15","3.888166229","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"12006",,,,
"6",,"16","4.196153956","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"13007",,,,
"6",,"17","4.503588131","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"14007",,,,
"6",,"18","4.810105049","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"15007",,,,
"6",,"19","5.131094775","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"16007",,,,
"6",,"20","5.423466039","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"17007",,,,
"6",,"21","5.709862171","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"18008",,,,
"6",,"22","6.043742211","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"19009",,,,
"6",,"23","6.343680620","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"20009",,,,
"6",,"24","6.752811099","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"21009",,,,
"6",,"25","7.060164043","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"22010",,,,
"6",,"26","7.366877899","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"23010",,,,
"6",,"27","7.673577074","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"24011",,,,
"6",,"28","7.980591427","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"25011",,,,
"6",,"29","8.287495394","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"26012",,,,
"6",,"30","8.518458727","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"27012",,,,
"6",,"31","8.901121955","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"28013",,,,
"6",,"32","9.207919701","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"29013",,,,
"6",,"33","9.515160456","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"30013",,,,
"6",,"34","9.821811517","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"31013",,,,
"6",,"35","10.128940447","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"32014",,,,
"6",,"36","10.436188429","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"33014",,,,
"6",,"37","10.742806118","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"34015",,,,
"6",,"38","11.049444308","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"35016",,,,
"6",,"39","11.356767144","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"36017",,,,
"6",,"40","11.663435728","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"37017",,,,
"6",,"41","11.969487738","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"38018",,,,
"6",,"42","12.379705982","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"39018",,,,
"6",,"43","12.686085922","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"40019",,,,
"6",,"44","12.993274236","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"41019",,,,
"6",,"45","13.299551168","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"42020",,,,
"6",,"46","13.606304554","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"43021",,,,
"6",,"47","13.913868740","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"44021",,,,
"6",,"48","14.219883408","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"45022",,,,
"6",,"49","14.526964220","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"46022",,,,
"6",,"50","14.834025460","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"47022",,,,
"6",,"51","15.101399180","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"48023",,,,
"6",,"52","15.447312536","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"49023",,,,
"6",,"53","15.753705924","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"50024",,,,
"6",,"54","16.060733126","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"51025",,,,
"6",,"55","16.368749953","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"52025",,,,
"6",,"56","16.784655334","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"53025",,,,
"6",,"57","17.088523439","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"54025",,,,
"6",,"58","17.313969336","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"55026",,,,
"6",,"59","17.712118590","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"56027",,,,
"6",,"60","18.005704012","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"57027",,,,
"6",,"61","18.311932670","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"58028",,,,
"6",,"62","18.617668637","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"59029",,,,
"6",,"63","18.924442828","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"60029",,,,
"6",,"64","19.231448304","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"61030",,,,
"6",,"65","19.538730960","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"62030",,,,
"6",,"66","19.845027758","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"63031",,,,
"6",,"67","20.151542381","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"64032",,,,
"6",,"68","20.470705481","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"65032",,,,
"6",,"69","20.867988808","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"66033",,,,
"6",,"70","21.061994594","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"67033",,,,
"6",,"71","21.481795260","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"68033",,,,
"6",,"72","21.787492494","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"69033",,,,
"6",,"73","22.095613056","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"70033",,,,
"6",,"74","22.401505092","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"71034",,,,
"6",,"75","22.708310044","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"72034",,,,
"6",,"76","23.015911274","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"73034",,,,
"6",,"77","23.256598524","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"74035",,,,
"6",,"78","23.628268941","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"75036",,,,
"6",,"79","23.934763573","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"76037",,,,
"6",,"80","24.241789611","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"77037",,,,
"6",,"81","24.549557314","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"78037",,,,
"6",,"82","24.855182702","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"79038",,,,
"6",,"83","25.162085517","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"80038",,,,
"6",,"84","25.469549747","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"81038",,,,
"6",,"85","25.775983193","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"82039",,,,
"6",,"86","26.184699480","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"83040",,,,
"6",,"87","26.393060874","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"84040",,,,
"6",,"88","26.797961818","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"85041",,,,
"6",,"89","27.018997575","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"86042",,,,
"6",,"90","27.412091245","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"87043",,,,
"6",,"91","27.718912515","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"88044",,,,
"6",,"92","28.025144232","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"89044",,,,
"6",,"93","28.335320455","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"90045",,,,
"6",,"94","28.638679623","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"91046",,,,
"6",,"95","28.945334068","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"92047",,,,
"6",,"96","29.218738813","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"93047",,,,
"6",,"97","29.559090956","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"94048",,,,
"6",,"98","29.866245052","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"95049",,,,
"6",,"99","30.162389385","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"96050",,,,
"6",,"100","30.479866825","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"97050",,,,
"6",,"101","30.888205432","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"98051",,,,
"6",,"102","31.104285595","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"99052",,,,
"6",,"103","31.501802020","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"100052",,,,
"6",,"104","31.808543114","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"101053",,,,
"6",,"105","32.116353134","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"102054",,,,
"6",,"106","32.428457765","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"103055",,,,
"6",,"107","32.733874334","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"104055",,,,
"6",,"108","33.043583878","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"105055",,,,
"6",,"109","33.351663323","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"106056",,,,
"6",,"110","33.660173172","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"107056",,,,
"6",,"111","33.969012472","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"108056",,,,
"6",,"112","34.277838631","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"109056",,,,
"6",,"113","34.586484785","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"110057",,,,
"6",,"114","34.895640413","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"111058",,,,
"6",,"115","35.307687793","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"112058",,,,
"6",,"116","35.616224267","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"113058",,,,
"6",,"117","35.835288554","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"114059",,,,
"6",,"118","36.149543531","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"115060",,,,
"6",,"119","36.540695081","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"116060",,,,
"6",,"120","36.849319353","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"117061",,,,
"6",,"121","37.157349329","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"118062",,,,
"6",,"122","37.465610633","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"119063",,,,
"6",,"123","37.774925647","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"120064",,,,
"6",,"124","38.082303957","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"121064",,,,
"6",,"125","38.411620063","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"122065",,,,
"6",,"126","38.710551266","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"123066",,,,
"6",,"127","39.019018430","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"124067",,,,
"6",,"128","39.424750762","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"125068",,,,
"6",,"129","39.732895978","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"126068",,,,
"6",,"130","40.046389519","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"127068",,,,
"6",,"131","40.352048612","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"128068",,,,
"6",,"132","40.650170998","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"129068",,,,
"6",,"133","40.958715182","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"130069",,,,
"6",,"134","41.191974884","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"131069",,,,
"6",,"135","41.574192685","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"132069",,,,
"6",,"136","41.885263203","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"133070",,,,
"6",,"137","42.133744346","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"134070",,,,
"6",,"138","42.498055087","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"135071",,,,
"6",,"139","42.805742807","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"136071",,,,
"6",,"140","43.113557165","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"137071",,,,
"6",,"141","43.423509191","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"138072",,,,
"6",,"142","43.731086366","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"139073",,,,
"6",,"143","44.037423835","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"140074",,,,
"6",,"144","44.339061785","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"141074",,,,
"6",,"145","44.755178725","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"142075",,,,
"6",,"146","45.012477949","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"143075",,,,
"6",,"147","45.370564415","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"144076",,,,
"6",,"148","45.678120357","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"145076",,,,
"6",,"149","45.986135069","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"146077",,,,
"6",,"150","46.294055970","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"147078",,,,
"6",,"151","46.601415087","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"148078",,,,
"6",,"152","46.908683448","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"149079",,,,
"6",,"153","47.217392461","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"150080",,,,
"6",,"154","47.525049028","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"151080",,,,
"6",,"155","47.832638891","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"152081",,,,
"6",,"156","48.140819302","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"153081",,,,
"6",,"157","48.448515330","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"154082",,,,
"6",,"158","48.857884347","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"155083",,,,
"6",,"159","49.165610015","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"156084",,,,
"6",,"160","49.472767746","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"157084",,,,
"6",,"161","49.780035798","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"158084",,,,
